,Length,AT,DA,SA,SRCE,DSTI
0,53,2020-05-15 13:24:46.431002+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:62:3b:53,Desktop,Router
1,53,2020-05-15 13:24:46.431537+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:62:3b:53,Desktop,Router
2,295,2020-05-15 13:24:46.458191+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
3,127,2020-05-15 13:24:46.527515+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
4,142,2020-05-15 13:24:46.528375+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5,55,2020-05-15 13:24:46.534425+02:00,c4:ea:1d:e6:79:e9,d4:f5:47:27:f9:8e,Google_hub,Router
6,55,2020-05-15 13:24:46.536125+02:00,c4:ea:1d:e6:79:e9,d4:f5:47:27:f9:8e,Google_hub,Router
7,295,2020-05-15 13:24:46.664506+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
8,295,2020-05-15 13:24:46.765295+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
9,295,2020-05-15 13:24:46.869518+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
10,125,2020-05-15 13:24:46.901981+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
11,125,2020-05-15 13:24:46.903110+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
12,125,2020-05-15 13:24:46.908385+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
13,125,2020-05-15 13:24:46.921175+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
14,125,2020-05-15 13:24:46.929128+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
15,140,2020-05-15 13:24:46.936330+02:00,74:c6:3b:50:5f:b9,c4:ea:1d:e6:79:e8,Router2,Azurewave
16,295,2020-05-15 13:24:46.971313+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
17,295,2020-05-15 13:24:47.076196+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
18,127,2020-05-15 13:24:47.083677+02:00,ff:ff:ff:ff:ff:ff,74:c6:3b:50:5f:b9,Azurewave,Broadcasting
19,295,2020-05-15 13:24:47.174944+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
20,127,2020-05-15 13:24:47.181522+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
21,127,2020-05-15 13:24:47.181687+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
22,142,2020-05-15 13:24:47.185877+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
23,55,2020-05-15 13:24:47.189136+02:00,c4:ea:1d:e6:79:e9,d4:f5:47:27:f9:8e,Google_hub,Router
24,127,2020-05-15 13:24:47.196040+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
25,142,2020-05-15 13:24:47.196835+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
26,142,2020-05-15 13:24:47.197005+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
27,142,2020-05-15 13:24:47.197350+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
